,Winter,Herbst,Frühling,Sommer
2022-02-03,1,0,0,0
2022-07-06,0,1,0,0
2022-07-09,1,0,0,0
2022-07-12,1,0,0,0
2022-07-14,1,0,0,0
2022-07-15,1,0,0,0
2022-07-18,0,1,0,1
2022-07-23,1,0,0,0
2022-07-24,0,1,0,1
2022-07-28,1,1,0,0
2022-07-31,2,0,0,0
2022-08-05,0,0,0,1
2022-08-10,2,0,0,0
2022-08-14,0,0,0,1
2022-08-25,1,0,0,0
2022-08-27,1,0,0,0
2022-08-31,1,0,0,1
2022-09-14,1,0,0,0
2022-09-19,1,0,0,0
2022-09-20,1,0,0,0
2022-09-21,1,1,0,1
2022-09-22,1,0,0,0
2022-09-23,2,0,0,0
2022-09-25,1,0,0,0
2022-09-27,0,1,0,1
2022-09-28,3,2,0,0
2022-09-29,4,1,0,0
2022-09-30,5,0,0,0
2022-10-01,1,0,0,0
2022-10-02,1,0,0,0
2022-10-03,2,1,0,0
2022-10-04,3,0,0,0
2022-10-05,1,0,0,0
2022-10-06,2,0,0,0
2022-10-07,5,0,0,3
2022-10-08,2,1,0,0
2022-10-09,2,1,0,0
2022-10-10,7,1,0,0
2022-10-11,7,0,0,0
2022-10-12,5,0,0,0
2022-10-13,6,0,0,0
2022-10-14,7,0,0,0
2022-10-15,2,0,0,0
2022-10-16,5,1,0,0
2022-10-17,6,2,0,0
2022-10-18,6,4,0,0
2022-10-19,10,1,0,0
2022-10-20,15,2,0,0
2022-10-21,8,0,0,1
2022-10-22,2,3,0,0
2022-10-23,3,0,0,0
2022-10-24,5,4,0,2
2022-10-25,15,0,0,0
2022-10-26,4,1,0,1
2022-10-27,6,0,0,0
2022-10-28,4,2,0,2
2022-10-29,12,1,0,4
2022-10-30,4,1,0,0
2022-10-31,9,0,0,1
2022-11-01,1,0,0,0
2022-11-02,12,1,0,2
2022-11-03,10,1,0,0
2022-11-04,5,1,0,2
2022-11-05,12,0,0,1
2022-11-06,3,0,0,1
2022-11-07,6,0,0,3
2022-11-08,10,1,0,0
2022-11-09,14,2,0,0
2022-11-10,7,1,0,0
2022-11-11,3,0,1,1
2022-11-12,1,0,0,0
2022-11-13,1,0,0,0
2022-11-14,2,0,0,0
2022-11-15,7,0,0,0
2022-11-16,5,2,0,0
2022-11-17,6,0,0,0
2022-11-18,12,0,0,0
2022-11-19,5,1,0,0
2022-11-20,2,0,0,0
2022-11-21,3,0,0,0
